business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category,rating,American,Mexican,Chinese,Italian,Coffee&Tea,Sandwiches,Pizza
2689,THE BLUE PLATE,3218 MISSION St,San Francisco,CA,94110,37.745158,-122.420217,"(37.745158, -122.420217)",14155286777,2689_20161128,11/28/2016 12:00:00 AM,98,Routine - Unscheduled,,,,4,0,0,0,0,0,0,0
2684,ERIC'S RESTAURANT,1500 Church St,San Francisco,CA,94131,37.746759,-122.426995,"(37.746759, -122.426995)",14155280919,2684_20161102,11/02/2016 12:00:00 AM,83,Routine - Unscheduled,2684_20161102_103131,Moderate risk vermin infestation,Moderate Risk,3.5,0,0,1,0,0,0,0
62362,Cafe Pellegrini,659 Columbus Ave,San Francisco,CA,94133,37.800851,-122.411062,"(37.800851, -122.411062)",,62362_20160909,09/09/2016 12:00:00 AM,96,Routine - Unscheduled,62362_20160909_103154,Unclean or degraded floors walls or ceilings,Low Risk,3.5,0,0,0,0,0,0,0
71287,Glaze Teriyaki,1946 FILLMORE St,San Francisco,CA,94115,37.787778,-122.433557,"(37.787778, -122.433557)",14155779878,71287_20160912,09/12/2016 12:00:00 AM,82,Routine - Unscheduled,71287_20160912_103109,Unclean or unsanitary food contact surfaces,High Risk,4,0,0,0,0,0,0,0
71286,21 Taste House,1109 Ocean Ave,San Francisco,CA,94112,37.723461,-122.454226,"(37.723461, -122.454226)",14155932233,71286_20160831,08/31/2016 12:00:00 AM,90,Routine - Unscheduled,71286_20160831_103144,Unapproved or unmaintained equipment or utensils,Low Risk,3.5,0,0,0,0,0,0,0
71534,7 Eleven #2366-36039A,644 Mission St,San Francisco,CA,94105,,,,14155610309,71534_20151007,10/07/2015 12:00:00 AM,76,Routine - Unscheduled,71534_20151007_103102,Unclean hands or improper use of gloves,High Risk,Unknown,,,,,,,
71823,Subway Sandwiches #24254,200 Pine St #140,San Francisco,CA,94104,37.792237,-122.400124,"(37.792237, -122.400124)",,71823_20161222,12/22/2016 12:00:00 AM,96,Routine - Unscheduled,71823_20161222_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,Unknown,,,,,,,
71530,Bi-Rite Divis,550 DIVISADERO St,San Francisco,CA,94117,,,,,71530_20160928,09/28/2016 12:00:00 AM,94,Routine - Unscheduled,71530_20160928_103154,Unclean or degraded floors walls or ceilings,Low Risk,4.5,0,0,0,0,0,0,0
71532,Xpresso Tea,6901 Geary Blvd,San Francisco,CA,94121,37.779663,-122.493618,"(37.779663, -122.493618)",14155277367,71532_20160330,03/30/2016 12:00:00 AM,96,Routine - Unscheduled,71532_20160330_103154,Unclean or degraded floors walls or ceilings,Low Risk,3.5,0,0,0,0,1,0,0
68281,New Big Lantern,3170 16th St,San Francisco,CA,94103,37.764848,-122.423382,"(37.764848, -122.423382)",14155868100,68281_20160914,09/14/2016 12:00:00 AM,74,Routine - Unscheduled,68281_20160914_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,3.5,0,0,1,0,0,0,0
98,XOX Truffles,754 Columbus Ave,San Francisco,CA,94133,37.801665,-122.412104,"(37.801665, -122.412104)",,98_20160316,03/16/2016 12:00:00 AM,96,Routine - Unscheduled,98_20160316_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk,4.5,0,0,0,0,0,0,0
68283,The Spice & Tea Exchange,Pier 39  #273,San Francisco,CA,94133,37.80824,-122.410189,"(37.80824, -122.410189)",,68283_20161209,12/09/2016 12:00:00 AM,98,Routine - Unscheduled,68283_20161209_103154,Unclean or degraded floors walls or ceilings,Low Risk,4.5,0,0,0,0,1,0,0
68287,Walgreens #13669,776 Market St,San Francisco,CA,94102,37.786,-122.405616,"(37.786, -122.405616)",,68287_20160419,04/19/2016 12:00:00 AM,98,Routine - Unscheduled,68287_20160419_103142,Unclean nonfood contact surfaces,Low Risk,Unknown,,,,,,,
68289,Walgreens #893,1344 Stockton St,San Francisco,CA,94133,37.79809,-122.408612,"(37.79809, -122.408612)",,68289_20160204,02/04/2016 12:00:00 AM,94,Routine - Unscheduled,68289_20160204_103133,Foods not protected from contamination,Moderate Risk,3.5,0,0,0,0,0,0,0
68288,Walgreens #5618,100 Sansome St,San Francisco,CA,94104,37.791235,-122.400646,"(37.791235, -122.400646)",,68288_20151117,11/17/2015 12:00:00 AM,100,Routine - Unscheduled,,,,Unknown,,,,,,,
95,Vega,419 CORTLAND Ave,San Francisco,CA,94110,37.739207,-122.417447,"(37.739207, -122.417447)",,95_20160718,07/18/2016 12:00:00 AM,86,Routine - Unscheduled,95_20160718_103144,Unapproved or unmaintained equipment or utensils,Low Risk,4,0,0,0,1,0,0,1
62888,Poquito,2368 03rd St,San Francisco,CA,94107,37.759587,-122.388625,"(37.759587, -122.388625)",,62888_20150812,08/12/2015 12:00:00 AM,98,Routine - Unscheduled,62888_20150812_103154,Unclean or degraded floors walls or ceilings,Low Risk,4,0,0,0,0,0,0,0
83475,Fine and Rare,555 Golden Gate Ave,San Francisco,CA,94102,,,,,83475_20160303,03/03/2016 12:00:00 AM,80,Routine - Unscheduled,83475_20160303_103148,No thermometers or uncalibrated thermometers,Low Risk,4.5,1,0,0,0,0,0,0
83476,Kio Ramen,3528 Balboa St,San Francisco,CA,94121,,,,14155535056,83476_20161021,10/21/2016 12:00:00 AM,72,Routine - Unscheduled,83476_20161021_103133,Foods not protected from contamination,Moderate Risk,3.5,0,0,0,0,0,0,0
83472,The Spice Jar,2500 Bryant St,San Francisco,CA,94110,,,,,83472_20160907,09/07/2016 12:00:00 AM,92,Routine - Unscheduled,83472_20160907_103161,Low risk vermin infestation,Low Risk,4,0,0,0,0,0,0,0
33851,Thee Parkside,1600 17th St,San Francisco,CA,94107,37.764987,-122.399872,"(37.764987, -122.399872)",14155251330,33851_20161018,10/18/2016 12:00:00 AM,85,Routine - Unscheduled,33851_20161018_103114,High risk vermin infestation,High Risk,4,0,0,0,0,0,0,0
78668,Wicked Grounds,289 08th St,San Francisco,CA,94103,,,,,78668_20160822,08/22/2016 12:00:00 AM,96,Routine - Unscheduled,78668_20160822_103142,Unclean nonfood contact surfaces,Low Risk,4.5,0,0,0,0,1,0,0
78669,Chantal Guillon,1309 Howard St,San Francisco,CA,94103,,,,,78669_20160824,08/24/2016 12:00:00 AM,92,Routine - Unscheduled,78669_20160824_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,4.5,0,0,0,0,0,0,0
78662,Homeskillet,1001 Market St,San Francisco,CA,94102,,,,,78662_20160913,09/13/2016 12:00:00 AM,76,Routine - Unscheduled,78662_20160913_103131,Moderate risk vermin infestation,Moderate Risk,3.5,0,0,0,0,0,0,0
78663,Tazza D'Amore Inc.,700 04th St,San Francisco,CA,94107,,,,,78663_20160802,08/02/2016 12:00:00 AM,92,Routine - Unscheduled,78663_20160802_103120,Moderate risk food holding temperature,Moderate Risk,Unknown,,,,,,,
71753,Sunrise Deli,Off The Grid,San Francisco,CA,,,,,,71753_20160511,05/11/2016 12:00:00 AM,100,Routine - Unscheduled,,,,4,0,0,0,0,0,0,0
79390,City Lunch Restaurant,2101 Ingalls St,San Francisco,CA,94124,,,,,79390_20151019,10/19/2015 12:00:00 AM,82,Routine - Unscheduled,79390_20151019_103105,Improper cooling methods,High Risk,4,0,0,0,0,0,0,0
17822,Peet's Coffee & Tea,601 Van Ness Ave Suite A,San Francisco,CA,94102,37.781454,-122.420644,"(37.781454, -122.420644)",,17822_20161003,10/03/2016 12:00:00 AM,100,Routine - Unscheduled,,,,4,0,0,0,0,1,0,0
79196,Veraci Pizza,32 06th St,San Francisco,CA,94103,,,,,79196_20160614,06/14/2016 12:00:00 AM,84,Routine - Unscheduled,79196_20160614_103157,Food safety certificate or food handler card not available,Low Risk,3,0,0,0,0,0,0,1
87107,Russian Renaissance Restaurant,5241 Geary Blvd,San Francisco,CA,94118,,,,14155758558,87107_20160421,04/21/2016 12:00:00 AM,96,Routine - Unscheduled,87107_20160421_103154,Unclean or degraded floors walls or ceilings,Low Risk,4,0,0,0,0,0,0,0
79194,7-Eleven Store #2366-36486A,195 Pine St,San Francisco,CA,,,,,,79194_20160427,04/27/2016 12:00:00 AM,84,Routine - Unscheduled,79194_20160427_103138,Improper storage use or identification of toxic substances,Low Risk,Unknown,,,,,,,
83610,Nucha,270 Noe St,San Francisco,CA,94114,,,,14155516326,83610_20160615,06/15/2016 12:00:00 AM,100,Routine - Unscheduled,,,,4,0,0,0,0,0,0,0
83612,Lobster ME,845 Market St FE15,San Francisco,CA,94103,,,,,83612_20160922,09/22/2016 12:00:00 AM,93,Routine - Unscheduled,83612_20160922_103102,Unclean hands or improper use of gloves,High Risk,2.5,0,0,0,0,0,0,0
83616,Buzz Express,380 Bush St #1,San Francisco,CA,94104,,,,,83616_20160829,08/29/2016 12:00:00 AM,81,Routine - Unscheduled,83616_20160829_103154,Unclean or degraded floors walls or ceilings,Low Risk,3.5,0,0,0,0,0,0,0
